127.0.0.1, 2018-06-28 17:00:40, GET, /Raynime/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-06-28 17:00:40, GET, /Raynime/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:00:40, GET, /Raynime/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:00:40, GET, /Raynime/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:00:40, GET, /Raynime/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:00:40, GET, /Raynime/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:00:40, GET, /Raynime/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:00:40, GET, /Raynime/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:00:40, GET, /Raynime/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:00:40, GET, /Raynime/static/images/facebook.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:00:40, GET, /Raynime/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:43:29, GET, /, HTTP/1.1, 303, 0.016000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.152000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:43:35, GET, /Raynime/default/index, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-06-28 17:43:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-28 17:54:58, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/default/index, HTTP/1.1, 200, 0.153000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:55:19, GET, /admin/default/index, HTTP/1.1, 303, 0.083000
127.0.0.1, 2018-06-28 17:55:19, GET, /admin/default/site, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-06-28 17:55:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-28 17:55:33, POST, /admin/default/site, HTTP/1.1, 303, 0.748000
127.0.0.1, 2018-06-28 17:55:33, GET, /admin/default/design/Raynime, HTTP/1.1, 200, 0.132000
127.0.0.1, 2018-06-28 17:55:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-28 17:55:42, GET, /Raynime, HTTP/1.1, 200, 0.211000
127.0.0.1, 2018-06-28 17:55:42, GET, /Raynime/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:55:42, GET, /Raynime/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:55:42, GET, /Raynime/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:55:42, GET, /Raynime/static/js/jquery.js, HTTP/1.1, 304, 0.001000
